Nama Universitas,Singkatan
Universitas Gadjah Mada,ugm
Universitas Gadjah Mada,yujiem
Universitas Gadjah Mada,ugm_fess
Universitas Indonesia,ui
Universitas Indonesia,uwiw
Universitas Indonesia,uifess
Universitas Sumatera Utara,usu
Universitas Airlangga ,airlanggafess
Universitas Airlangga ,unair
Universitas Airlangga ,uner
Universitas Hasanuddin,unhas
Universitas Andalas ,andalasfess
Universitas Andalas ,unand
Universitas Padjajaran,unpad
Universitas Padjajaran,draftanakunpad
Universitas Padjajaran,pad
Universitas Diponegoro,undip
Universitas Diponegoro,undipmenfess
Universitas Diponegoro,unchdip
Universitas Diponegoro,unchdeep
Universitas Diponegoro,dips
Universitas Sriwijaya,unsri
Universitas Lambung Mangkurat,ulm
Universitas Syiah Kuala,usk
Universitas Sam Ratulangi,unsrat
Universitas Udayana,unud
Universitas Nusa Cendana,undana
Universitas Mulawarman,unmul
Universitas Mataram,unram
Universitas Riau,unrimenfess
Universitas Riau,unri
Universitas Cendrawasih,uncen
Universitas Brawijaya,ub
Universitas Brawijaya,ube
Universitas Brawijaya,unbraw
Universitas Brawijaya,unibraw
Universitas Brawijaya,ub_mfs
Universitas Brawijaya,ubsansfess
Universitas Brawijaya,braw
Universitas Jambi,unja
Universitas Pattimura,unpatti
Universitas Tanjungpura,untan
Universitas Soedirman,unsoed
Universitas Soedirman,jends
Universitas Palangkaraya,upr
Universitas Jember,unej
Universitas Lampung,unila
Universitas Sebelas Maret,unsfess
Universitas Sebelas Maret,uns
Universitas Sebelas Maret,11fess
Universitas Tadulako,untad
Universitas Halu Oleo,uho
Universitas Bengkulu,unib
Universitas Terbuka,ut
Universitas Negeri Padang,unp
Universitas Negeri Malang ,unm
Universitas Negeri Jakarta,unj
Universitas Negeri Yogyakarta,uny
Universitas Negeri Surabaya,unesa
Universitas Negeri Surabaya,nesa
Universitas Negeri Surabaya,nesa_fess
Universitas Negeri Surabaya,yunesa
Universitas Negeri Medan,unimed
Universitas Negeri Semarang ,unnesmenfess
Universitas Negeri Semarang ,unnes
Universitas Negeri Semarang ,ness
Universitas Sultan Ageng Tirtayasa,untirta
Universitas Trunojoyo Madura,utm
Universitas Khairun,unkhair
Universitas Papua,unipa
Universitas Malikussaleh,unimal
Universitas Negeri Gorontalo,ung
Universitas Pendidikan Ganesha,undiksha
Universitas Bangka Belitung ,ubb
Universitas Borneo Tarakan,ubt
Universitas Musamus Merauke,unmus
Universitas Maritim Raja Ali Haji,umrah
Universitas Samudera,unsam
Universitas Sulawesi Barat,unsulbar
Universitas Sebmbilanbelas November,usn
Universitas Tidar,untidar
Universitas Siliwangi,unsil
Universita Teuku Umar,utu
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",yupien_fess
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",yupien
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",upnvjt
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",yupien_fess
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",yupien
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",upnvj
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",yupien
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",yupien_fess
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",upnvyk
Universitas Singaperbangsa Karawang,unsika
Institut Teknologi Bandung,itbfess
Institut Teknologi Sepuluh November,its_fess
katanya gapake institut?/??,
hah aku bilang gitu kah ,
pakeee tapi yg besar besar nya ajaa,
